took,timed_out,total,successful,skipped,failed,total,max_score,_index,_type,_id,_score,id,url
,,,,,,,,seed_target,_doc,32646,3.7638435,31,http://www.foleyinc.com/construction/used/vibratory-single-drum-pad/
,,,,,,,,seed_target,_doc,34080,3.7638435,31,http://www.raadams.com/snow-equipment
,,,,,,,,seed_target,_doc,33465,3.7638435,31,http://www.ncmachinery.com/cat_used_equipments/groups/127
,,,,,,,,seed_target,_doc,29807,3.7638435,31,http://www.ellenbaumtrucksales.com/inventory/4/dump-trucks-for-sale
,,,,,,,,seed_target,_doc,32619,3.7638435,31,http://www.foleyinc.com/construction/used/cranes/
,,,,,,,,seed_target,_doc,30490,3.7638435,31,https://www.oescoinc.com/equipment/pluk-o-trak-fruit-harvest-pruning-platform.html/
,,,,,,,,seed_target,_doc,30427,3.7638435,31,http://www.convoycapitalllc.com/financing/
,,,,,,,,seed_target,_doc,30271,3.756005,31,http://westlietruckcenters.com/sales---minot/staff/
,,,,,,,,seed_target,_doc,29762,3.756005,31,http://www.howelltractor.com/used-equipment/excavators/construction-size-excavators/
,,,,,,,,seed_target,_doc,32887,3.756005,31,http://www.carolinacat.com/Products/Used-Products.aspx?cat=COLD%2BPLANERS
,,,,,,,,seed_target,_doc,30221,3.756005,31,https://www.sloans.com/equipment/?viewall=1
,,,,,,,,seed_target,_doc,32630,3.756005,31,http://www.foleyinc.com/construction/used/off-highway-trucks-tractors/
,,,,,,,,seed_target,_doc,28319,3.756005,31,https://www.clevelandbrothers.com/used-equipment/equipment/cranes/
,,,,,,,,seed_target,_doc,32647,3.756005,31,http://www.foleyinc.com/construction/used/water-trucks/
,,,,,,,,seed_target,_doc,29167,3.756005,31,https://www.ertruck.com/trailers-for-sale
,,,,,,,,seed_target,_doc,28605,3.756005,31,https://www.hinshawtrailersales.com/all-inventory/equipment-trailers
,,,,,,,,seed_target,_doc,32631,3.756005,31,http://www.foleyinc.com/construction/used/on-highway-trucks/
,,,,,,,,seed_target,_doc,31703,3.756005,31,https://www.magnamtruck.com/used-trucks-for-sale-dayton-columbus-toledo-ohio--xpreownedinventory?vt=truck
,,,,,,,,seed_target,_doc,32639,3.756005,31,http://www.foleyinc.com/construction/used/telehandlers/
,,,,,,,,seed_target,_doc,29487,3.756005,31,https://www.nelsontruck.com/c-3228-towing-trucks-trailers-for-sale-used-wreckers.html
,,,,,,,,seed_target,_doc,32633,3.756005,31,http://www.foleyinc.com/construction/used/pipelayers/
,,,,,,,,seed_target,_doc,28596,3.756005,31,https://www.hinshawtrailersales.com/all-inventory/utility-trailers
,,,,,,,,seed_target,_doc,32625,3.756005,31,http://www.foleyinc.com/construction/used/material-handlers-demolition/
,,,,,,,,seed_target,_doc,27099,3.756005,31,https://www.wholesaletrailerllc.com/all-inventory?condition=used
,,,,,,,,seed_target,_doc,32624,3.756005,31,http://www.foleyinc.com/construction/used/lifts/
,,,,,,,,seed_target,_doc,31533,3.756005,31,https://www.coastalindustrial.com/default.asp?page=xPreOwnedInventory
,,,,,,,,seed_target,_doc,30626,3.756005,31,https://www.aesmowers.com/used-equipment
,,,,,,,,seed_target,_doc,29484,3.756005,31,https://www.nelsontruck.com/c-3127-chipper-forestry-bodies.html
,,,,,,,,seed_target,_doc,32620,3.756005,31,http://www.foleyinc.com/construction/used/engines/
